微博id,微博正文,头条文章url,原始图片url,微博视频url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
IwCW8cjbW,#微观民生# 拘8日！拘8日！  ,,无,无,无,2020-03-01 20:17,OPPO R9,9,0,1
IwCKVaUNV,#微观民生# 泰州市微信排行榜周榜（2.16-2.22）泰州市微信排行榜周榜（2.16-2.22）  ,,无,无,无,2020-03-01 19:49,OPPO R9,1,0,1
IwCKsebb7,#微观民生# 30天，720小时，感谢有你……30天，720小时，感谢有你……  ,,无,无,无,2020-03-01 19:48,OPPO R9,3,0,1
IwBFR47Cx,#微观民生# 我市运用价格杠杆稳发展稳市场【泰州力量】我市运用价格杠杆稳发展稳市场  ,,无,无,无,2020-03-01 17:04,OPPO R9,1,0,3
IwBFtpfTd,#微观民生# 我市为外资企业“贴心护航”我市为外资企业“贴心护航”  ,,无,无,无,2020-03-01 17:03,OPPO R9,0,0,2
IwBERy6iW,#微观民生# 央媒连续聚焦泰州！这两天，央媒连续聚焦泰州！  ,,无,无,无,2020-03-01 17:02,OPPO R9,0,0,1
IwB8tmzyu,#微观民生# 海陵区儿童预防接种门诊恢复开诊通告通告  ,,无,无,无,2020-03-01 15:42,OPPO R9,4,0,3
IwB82cVrk,#微观民生# 这些抗击疫情的“利器”，原来也是泰州造！这些抗击疫情的“利器”，原来也是泰州造！  ,,无,无,无,2020-03-01 15:41,OPPO R9,0,0,1
IwAtJvkZ6,#微观民生# 长城汽车来啦！15家企业1500个岗位等你挑...长城汽车来啦！15家企业1500个岗位等你挑...  ,,无,无,无,2020-03-01 14:02,微博 weibo.com,3,1,2
IwzAWfkTt,#微观民生#【泰州石化确保连续生产不断线】连日来，中海油气（泰州）石化有限公司的销售人员每天17时准时发起微信视频会议。大家结合实际交流市场最新动态，提出应对疫情影响的积极举措。突如其来的疫情，给企业生产运营带来诸多不利，对刚刚完成混合所有制改革的中海油气（泰州）石化有限公司来说，更是一次形势严峻的大考。疫情发生以来，该公司积极应对、科学防治、精准施策，创新实施“疫情6S管理”，全力以赴投入疫情防控和生产运营各项工作，确保连续生产不断线，为给抗击疫情提供急需的石油产品。 原图 ,,http://wx2.sinaimg.cn/large/be780da6gy1gcdbrwqokdj20b407eac7.jpg,无,无,2020-03-01 11:47,微博 weibo.com,17,1,2
Iwzh3cac2,#微观民生#【南理工泰科院新学期思政“第一课”线上开讲】日前，南京理工大学泰州科技学院全面启动春季学期线上教学。开学首日，该校微信公众号推出《南理工泰科院全体思政课教师给泰科学生的一封信》，以“云中锦书”的形式开启该校新学期思政课“第一课”的开篇。  原图 ,,http://wx1.sinaimg.cn/large/be780da6gy1gcdbrl4i6bj20b408cacl.jpg,无,无,2020-03-01 10:58,微博 weibo.com,2,0,2
IwyUjDhev,#微观民生# 这个2月，值得被铭记！这个2月，值得被铭记！  ,,无,无,无,2020-03-01 10:02,微博 weibo.com,2,0,0
